Round,Date,Time,Milliseconds,ResponseTime(secs)
0,06/05/2017,12:50:07,541,0.2260277
0,06/05/2017,12:50:07,800,0.1907154
0,06/05/2017,12:50:07,541,0.461629
0,06/05/2017,12:50:07,541,0.4816819
0,06/05/2017,12:50:07,542,0.5037414
0,06/05/2017,12:50:08,48,0.197851
0,06/05/2017,12:50:08,279,0.1858092
0,06/05/2017,12:50:08,50,0.4267755
0,06/05/2017,12:50:08,92,0.4586116
0,06/05/2017,12:50:08,81,0.4920969
1,06/05/2017,12:50:08,627,0.1916639
1,06/05/2017,12:50:08,851,0.1908674
1,06/05/2017,12:50:08,605,0.4634133
1,06/05/2017,12:50:08,612,0.4777297
1,06/05/2017,12:50:08,621,0.4700778
1,06/05/2017,12:50:09,81,0.1856023
1,06/05/2017,12:50:09,103,0.2063213
1,06/05/2017,12:50:09,133,0.3026844
1,06/05/2017,12:50:09,126,0.3117063
1,06/05/2017,12:50:09,307,0.25832
2,06/05/2017,12:50:09,605,0.2648996
2,06/05/2017,12:50:09,609,0.3492671
2,06/05/2017,12:50:09,637,0.75656
2,06/05/2017,12:50:09,623,0.7711473
2,06/05/2017,12:50:09,630,0.766573
2,06/05/2017,12:50:09,668,0.7295153
2,06/05/2017,12:50:09,666,0.7355193
2,06/05/2017,12:50:09,645,0.7575494
2,06/05/2017,12:50:09,617,0.7861895
2,06/05/2017,12:50:09,797,0.6254183
