Round,Date,Time,Milliseconds,ResponseTime(secs)
0,06/05/2017,12:55:43,66,0.3524223
0,06/05/2017,12:55:43,233,0.1919853
0,06/05/2017,12:55:43,109,0.3185351
0,06/05/2017,12:55:43,427,0.2937023
0,06/05/2017,12:55:43,455,0.3288783
0,06/05/2017,12:55:43,464,0.3283915
0,06/05/2017,12:55:43,471,0.4723664
0,06/05/2017,12:55:43,816,0.1885139
0,06/05/2017,12:55:43,584,0.4452066
0,06/05/2017,12:55:43,770,0.3118812
1,06/05/2017,12:55:49,150,0.3243779
1,06/05/2017,12:55:49,158,0.3293891
1,06/05/2017,12:55:49,165,0.4513195
1,06/05/2017,12:55:49,171,0.478417
1,06/05/2017,12:55:49,179,0.4707405
1,06/05/2017,12:55:49,511,0.3135204
1,06/05/2017,12:55:49,526,0.3190514
1,06/05/2017,12:55:49,652,0.4280264
1,06/05/2017,12:55:49,685,0.4539746
1,06/05/2017,12:55:49,691,0.455299
