Round,Date,Time,Milliseconds,ResponseTime(secs)
0,06/05/2017,12:46:59,53,0.2074165
0,06/05/2017,12:46:59,122,0.1877706
0,06/05/2017,12:46:59,346,0.1896868
0,06/05/2017,12:46:59,298,0.3123258
0,06/05/2017,12:46:59,324,0.3105833
0,06/05/2017,12:46:59,652,0.2143251
0,06/05/2017,12:46:59,591,0.3488157
0,06/05/2017,12:46:59,599,0.3630258
0,06/05/2017,12:46:59,667,0.3739306
0,06/05/2017,12:46:59,819,0.2598945
0,06/05/2017,12:46:59,905,0.2352408
0,06/05/2017,12:47:00,126,0.2711473
0,06/05/2017,12:47:00,36,0.3692585
0,06/05/2017,12:47:00,187,0.2775673
0,06/05/2017,12:47:00,40,0.4574016
0,06/05/2017,12:47:00,134,0.416305
0,06/05/2017,12:47:00,454,0.2242101
0,06/05/2017,12:47:00,438,0.2763719
0,06/05/2017,12:47:00,501,0.2730059
0,06/05/2017,12:47:00,542,0.3458896
0,06/05/2017,12:47:00,774,0.3445981
0,06/05/2017,12:47:00,711,0.4218759
0,06/05/2017,12:47:00,807,0.3353688
0,06/05/2017,12:47:00,803,0.4070472
0,06/05/2017,12:47:00,938,0.3348751
0,06/05/2017,12:47:01,173,0.2477301
0,06/05/2017,12:47:01,161,0.2636474
0,06/05/2017,12:47:01,176,0.322966
0,06/05/2017,12:47:01,278,0.3565593
0,06/05/2017,12:47:01,501,0.2236354
0,06/05/2017,12:47:01,422,0.3675515
0,06/05/2017,12:47:01,537,0.3322154
0,06/05/2017,12:47:01,772,0.2668794
0,06/05/2017,12:47:01,504,0.5371729
0,06/05/2017,12:47:01,676,0.4236987
0,06/05/2017,12:47:01,906,0.2326645
0,06/05/2017,12:47:01,838,0.355345
0,06/05/2017,12:47:02,93,0.2088151
0,06/05/2017,12:47:02,93,0.2649313
0,06/05/2017,12:47:02,182,0.3098094
0,06/05/2017,12:47:02,343,0.2469139
0,06/05/2017,12:47:02,160,0.4967224
0,06/05/2017,12:47:02,288,0.413352
0,06/05/2017,12:47:02,406,0.3611895
0,06/05/2017,12:47:02,533,0.2672774
0,06/05/2017,12:47:02,630,0.2542901
0,06/05/2017,12:47:02,704,0.2344809
0,06/05/2017,12:47:02,789,0.2655277
0,06/05/2017,12:47:02,883,0.21537
0,06/05/2017,12:47:02,885,0.3262245
