Date,Time,Milliseconds,ResponseTime(secs)
06/05/2017,12:16:50,87,0.2019108
06/05/2017,12:16:50,109,0.3270761
06/05/2017,12:16:50,353,0.2272642
06/05/2017,12:16:50,73,0.5563217
06/05/2017,12:16:50,80,0.5586864
06/05/2017,12:16:50,94,0.5804877
06/05/2017,12:16:50,102,0.6191306
06/05/2017,12:16:50,538,0.1955573
06/05/2017,12:16:50,719,0.2205979
06/05/2017,12:16:50,724,0.2236251
06/05/2017,12:16:50,726,0.3529641
06/05/2017,12:16:50,942,0.2270384
06/05/2017,12:16:50,986,0.2270773
06/05/2017,12:16:51,44,0.2502543
06/05/2017,12:16:51,136,0.2202272
06/05/2017,12:16:51,217,0.217546
06/05/2017,12:16:51,292,0.2142347
06/05/2017,12:16:51,358,0.2209772
06/05/2017,12:16:51,459,0.1901023
06/05/2017,12:16:51,509,0.2512549
06/05/2017,12:16:51,580,0.2255379
06/05/2017,12:16:51,623,0.2511823
06/05/2017,12:16:51,699,0.2487887
06/05/2017,12:16:51,807,0.2368983
06/05/2017,12:16:51,877,0.2137226
06/05/2017,12:16:51,952,0.2744805
06/05/2017,12:16:52,44,0.1995202
06/05/2017,12:16:52,87,0.2336344
06/05/2017,12:16:52,91,0.4061375
06/05/2017,12:16:52,275,0.2532166
06/05/2017,12:16:52,365,0.2552429
06/05/2017,12:16:52,242,0.447453
06/05/2017,12:16:52,328,0.4165734
06/05/2017,12:16:52,568,0.2598393
06/05/2017,12:16:52,546,0.3200536
06/05/2017,12:16:52,660,0.2526056
06/05/2017,12:16:52,868,0.2634293
06/05/2017,12:16:52,736,0.438455
06/05/2017,12:16:52,953,0.2586947
06/05/2017,12:16:52,813,0.4089189
06/05/2017,12:16:52,914,0.3672161
06/05/2017,12:16:53,177,0.202817
06/05/2017,12:16:53,219,0.3481287
06/05/2017,12:16:53,286,0.2836691
06/05/2017,12:16:53,421,0.2411406
06/05/2017,12:16:53,289,0.4296913
06/05/2017,12:16:53,356,0.4290504
06/05/2017,12:16:53,614,0.2467697
06/05/2017,12:16:53,613,0.2637532
06/05/2017,12:16:53,709,0.2516073
06/05/2017,12:16:53,949,0.1993858
06/05/2017,12:16:53,779,0.3928366
06/05/2017,12:16:53,880,0.4327248
06/05/2017,12:16:53,947,0.3886907
06/05/2017,12:16:54,151,0.2125041
06/05/2017,12:16:54,187,0.3228368
06/05/2017,12:16:54,511,0.1917399
06/05/2017,12:16:54,158,0.5651827
06/05/2017,12:16:54,545,0.3055935
06/05/2017,12:16:54,340,0.5433041
06/05/2017,12:16:54,353,0.5365265
06/05/2017,12:16:54,395,0.5564536
06/05/2017,12:16:54,743,0.2596896
06/05/2017,12:16:54,953,0.2013638
06/05/2017,12:16:54,862,0.3177803
06/05/2017,12:16:55,126,0.2617504
06/05/2017,12:16:54,952,0.4423078
06/05/2017,12:16:55,194,0.2670611
06/05/2017,12:16:54,956,0.5677599
06/05/2017,12:16:55,10,0.515526
06/05/2017,12:16:55,471,0.1962818
06/05/2017,12:16:55,469,0.1992898
06/05/2017,12:16:55,503,0.3455551
06/05/2017,12:16:55,703,0.2902347
06/05/2017,12:16:55,670,0.3635571
06/05/2017,12:16:55,891,0.2520894
06/05/2017,12:16:55,670,0.5071911
06/05/2017,12:16:55,706,0.4762192
06/05/2017,12:16:56,35,0.2276384
06/05/2017,12:16:56,77,0.2270107
06/05/2017,12:16:56,191,0.2227979
06/05/2017,12:16:56,265,0.2426344
06/05/2017,12:16:56,267,0.3422915
06/05/2017,12:16:56,310,0.3159525
06/05/2017,12:16:56,456,0.25185
06/05/2017,12:16:56,612,0.29784
06/05/2017,12:16:56,645,0.3086719
06/05/2017,12:16:56,731,0.3021668
06/05/2017,12:16:56,767,0.3062441
06/05/2017,12:16:56,955,0.190116
06/05/2017,12:16:57,105,0.3117904
06/05/2017,12:16:57,142,0.3016046
06/05/2017,12:16:57,452,0.1894423
06/05/2017,12:16:57,676,0.1886073
06/05/2017,12:16:57,904,0.1902747
06/05/2017,12:16:58,128,0.1848975
06/05/2017,12:16:58,345,0.1830278
06/05/2017,12:16:58,562,0.1844883
06/05/2017,12:16:58,781,0.1873081
06/05/2017,12:16:59,1,0.1892098
